processes 144
nodes 12
ppn 12
binding numa
+ mpirun --hostfile /tmp/hosts.11243 --bind-to core --report-bindings -n 144 /gpfs/u/home/CCNI/CCNIsmth/barn-shared/CWS/osu-micro-benchmarks-5.6.1-erp-openmpi.4.0.1-verbs-noUcx-Pmi-install//libexec/osu-micro-benchmarks/mpi//collective/osu_allreduce
[erp11:74817] MCW rank 122 bound to socket 0[core 12[hwt 0]]: [././././././././././././B/././././././././././.][./././././././././././././././././././././././.]
[erp11:74817] MCW rank 123 bound to socket 0[core 18[hwt 0]]: [././././././././././././././././././B/././././.][./././././././././././././././././././././././.]
[erp11:74817] MCW rank 124 bound to socket 1[core 24[hwt 0]]: [./././././././././././././././././././././././.][B/././././././././././././././././././././././.]
[erp11:74817] MCW rank 125 bound to socket 1[core 30[hwt 0]]: [./././././././././././././././././././././././.][././././././B/././././././././././././././././.]
[erp11:74817] MCW rank 126 bound to socket 1[core 36[hwt 0]]: [./././././././././././././././././././././././.][././././././././././././B/././././././././././.]
[erp11:74817] MCW rank 127 bound to socket 1[core 42[hwt 0]]: [./././././././././././././././././././././././.][././././././././././././././././././B/././././.]
[erp11:74817] MCW rank 128 bound to socket 0[core 1[hwt 0]]: [./B/./././././././././././././././././././././.][./././././././././././././././././././././././.]
[erp11:74817] MCW rank 129 bound to socket 0[core 7[hwt 0]]: [./././././././B/./././././././././././././././.][./././././././././././././././././././././././.]
[erp11:74817] MCW rank 130 bound to socket 0[core 13[hwt 0]]: [./././././././././././././B/./././././././././.][./././././././././././././././././././././././.]
[erp11:74817] MCW rank 131 bound to socket 0[core 19[hwt 0]]: [./././././././././././././././././././B/./././.][./././././././././././././././././././././././.]

# OSU MPI Allreduce Latency Test v5.6.1
# Size       Avg Latency(us)
4                      17.43
8                      17.09
16                     16.71
32                     16.73
64                     17.75
128                    24.16
256                    24.72
512                    30.31
1024                   35.09
2048                   51.65
4096                  110.09
8192                  197.03
16384                 568.49
32768                 492.89
65536                1042.16
131072               1070.13
262144               1395.13
524288               2029.57
1048576              3475.01
+ set +x
